Technology Used,Phase 1 Implementation Identity + Device Foundation,Phase 2 Implementation Secure Access + Workload Protection,Phase 3 Implementation Detection + Response (SOC),Security Significance,Zero Trust Principle,Attack Mitigation
Microsoft Entra ID,"Identity platform with MFA, passwordless (Windows Hello + FIDO2), Conditional Access baseline","Authentication for App Proxy apps, risk-based CA",Signin & audit logs in SIEM,Central identity provider for secure authentication,Verify Explicitly,"Prevents credential theft, phishing, unauthorized access"
Microsoft Entra Privileged Identity Management,"JIT access, approval-based role activation",Time-bound privileged access for app admins,PIM activity monitored in SIEM,Eliminates standing admin access,Least Privilege,"Prevents privilege escalation, insider abuse"
Windows Autopilot,"Zero-touch provisioning, Entra join, Intune enrollment",Provisioned devices used for secure access,Provisioning logs (optional monitoring),Secure and automated device onboarding,Verify Device Trust,Prevents unmanaged device access
Microsoft Intune,"Compliance policies, security baselines, patching",Device compliance required for app access,Compliance logs in SIEM,Ensures only compliant devices access resources,Verify Device Trust,Prevents compromised/unpatched device access
Microsoft Defender for Endpoint,"EDR, threat protection, behavioral monitoring",Device risk signals integrated with CA,Threat alerts ingested into SIEM,Advanced endpoint threat detection,Assume Breach,"Detects malware, ransomware, zero-day attacks"
Microsoft Defender for Business,Endpoint security for SMB workloads,Supports endpoint protection in access decisions,Alerts integrated into SIEM,Endpoint protection and monitoring,Assume Breach,Prevents endpoint compromise
Windows Hello for Business,Passwordless authentication setup (PIN/biometric),Used for secure SSO login,Auth logs monitored,Phishing-resistant authentication,Verify Explicitly,"Prevents credential theft, replay attacks"
FIDO2 Security Keys,Strong authentication for privileged users,Secures admin access,Auth events logged,Hardware-based authentication,Verify Explicitly,"Prevents phishing, credential replay"
Microsoft Entra Application Proxy,Implemented in later phase,Secure publishing of internal apps,App access logs monitored,Remote access without VPN,Verify Explicitly,Prevents direct network exposure
Microsoft Defender for Cloud Apps,CASB monitoring for M365,Session control for app usage,CASB alerts in SIEM,Monitors cloud activity & data access,Assume Breach,"Prevents data exfiltration, detects anomalies"
Microsoft SharePoint Online,Secure document storage,Controlled access via CA,File activity logs monitored,Secure collaboration platform,Least Privilege,Prevents unauthorized data access
Microsoft 365 (Unified Audit Logs),Audit logging enabled,Continued monitoring,Unified logs in SIEM,Central audit visibility,Assume Breach,Detects suspicious activity across services
Microsoft Azure,Cloud platform foundation,VM hosting internal application,Activity logs in SIEM,Infrastructure layer security,Assume Breach,Detects unauthorized resource changes
Azure Firewall,Basic network security setup,Egress & ingress traffic control,Firewall logs in SIEM,Central traffic control and filtering,Assume Breach,"Prevents data exfiltration, command & control traffic"
Network Security Groups (NSG),Subnet-level segmentation,Traffic filtering between tiers,NSG flow logs monitored,Micro-segmentation of network,Assume Breach,Prevents lateral movement
Private Endpoints,Secure service access,Used for Key Vault and Storage with private access,Access logs monitored,Eliminates public exposure,Verify Explicitly,Prevents data exposure over internet
Azure Key Vault,Secure secrets storage,Access via Managed Identity,Audit logs in SIEM,Protects secrets and keys,Least Privilege,Prevents secret leakage
Managed Identity,Identity for Azure resources,Used for secure service access,Access logs monitored,Eliminates hardcoded credentials,Least Privilege,Prevents credential exposure
Azure Storage,Secure storage account,"Public access disabled, private access",Access logs monitored,Secure data storage,Least Privilege,Prevents unauthorized data access
Microsoft Sentinel,Implemented in later phase,Implemented in later phase,SIEM + SOAR implementation,Threat detection and response platform,Assume Breach,Detects and responds to attacks
Log Analytics Workspace,Implemented in later phase,Log collection foundation,Central log storage,Enables KQL and monitoring,Assume Breach,Supports detection and investigation
Azure Policy,Governance baseline,Enforces security controls,Resource compliance monitored,Prevents misconfigurations,Verify Explicitly,Prevents insecure deployments
Conditional Access,Baseline policies,Risk + device-based policies,Logs monitored in SIEM,Controls access dynamically,Verify Explicitly,Prevents unauthorized access
Continuous Access Evaluation (CAE),Implemented in later phase,Session-level enforcement,Session logs monitored,Real-time access control,Verify Explicitly,Stops session hijacking
Attack Simulation & Validation,Implemented in later phase,Basic attack simulations performed,Detection validated via SIEM,Validates effectiveness of security controls,Assume Breach,Ensures detection and response capabilities are working
Azure Diagnostic Settings,Logging enabled for all resources,Integrated with Log Analytics,Data available in SIEM,Ensures visibility across all services,Assume Breach,Enables detection and forensic investigation
Entra ID Risk Policies,Baseline risk detection,Risk-based Conditional Access enforced,Risk events monitored in SIEM,Dynamic access control based on risk,Verify Explicitly,Prevents compromised account access
